,chambre,voyageur,lit,bain,Wifi,Cuisine,Lave,Chauffage,Parking,Perle,Note,Commentaire,Prix,sdb_partage,lit/chambre,bain/voy,vendeur_Particulier,vendeur_Professionnel,ville_Bordeaux,ville_Lille,ville_Lyon,ville_Marseille,ville_Montpellier,ville_Nantes,ville_Nice,ville_Paris,ville_Strasbourg,ville_Toulouse,logement_Hôtel/chambre hôte,logement_appartement,logement_autres,logement_bateau,logement_chambre partagée,logement_chambre privée,logement_château,logement_gîte à la ferme,logement_logement entier,logement_micro-maison
0,1,2,1,1.0,1,1,1,0,0,0,4.93,863,115,0,1.0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,2,1,1.0,1,1,1,0,1,1,4.86,166,71,0,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,2,1,1.0,1,1,0,0,0,0,4.43,23,67,0,1.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,2,1,1.0,0,1,0,0,0,0,4.18,100,72,0,0.0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,2,4,3,1.0,1,1,0,0,0,0,4.7,184,85,0,1.5,0.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1,2,1,1.0,1,0,1,0,0,0,4.73,526,55,0,1.0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,1,2,1,1.0,1,1,1,0,0,1,4.31,626,69,0,1.0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1,2,1,1.0,0,1,0,0,0,1,4.6,65,103,0,1.0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,4,2,1.0,1,1,0,0,0,0,5.0,4,71,0,0.0,0.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,0,2,1,1.0,1,1,0,0,1,1,4.93,287,52,0,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,4,2,1.0,1,1,1,0,0,0,4.78,506,89,0,0.0,0.25,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,3,2,1.0,1,1,0,0,0,0,4.87,54,60,0,0.0,0.3333333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,1,2,1,1.0,1,1,0,0,0,0,4.69,356,92,0,1.0,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,1,2,1,1.0,1,1,0,0,0,0,4.84,241,295,0,1.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,1,2,1,1.0,0,0,0,0,0,0,4.67,6,37,1,1.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,1,2,1,1.5,1,1,0,0,1,0,4.95,44,249,0,1.0,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,2,1,1.0,1,1,0,0,0,1,4.75,419,81,0,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,2,6,3,1.0,1,1,1,0,1,0,0.0,0,123,0,1.5,0.16666666666666666,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,1,3,1,1.0,0,1,0,0,1,0,4.58,189,61,0,1.0,0.3333333333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,0,2,1,1.0,1,0,0,0,1,0,4.96,52,64,0,0.0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,2,6,3,1.0,1,1,1,0,0,1,4.71,17,193,0,1.5,0.16666666666666666,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
